ID,site,har,dbs,Type,Fm,FmErr,Age,AgeErr,d13C,D14C,bulkCf,bulkC,CB,lat,long
LHSS-1-1.5,1,150,NaN,D,0.7084,0.0016,2770,20,-26.41,-297.2,NaN,1.81,1,65.05462,-21.48055
LHSS-1-0.8,1,80,NaN,D,0.6155,0.0015,3900,20,-30.63,-389.42,NaN,0.57,1,65.05462,-21.48055
lhss1-0.1,1,10,NaN,D,0.7388,0.0017,2430,20,-25.32,-267.05,NaN,0.6,1,65.05462,-21.48055
lhss1-1.9,1,190,NaN,D,0.8913,0.0024,925,20,-25.7,-115.75,NaN,2.9,1,65.05462,-21.48055
LHSS-2-3355,2,102,44,D,0.7376,0.0016,2450,20,-29.32,-268.25,NaN,1.43,0,65.05556102,-21.48340297
LHSS-4-69,4,124,69,D,0.7526,0.0016,2280,15,-28,-253.41,NaN,1.1,0,65.05452401,-21.48283702
lhss4-34,4,159,34,D,0.8595,0.0017,1220,15,-25.54,-147.3,NaN,0.9,0,65.05452401,-21.48283702
LHSS-4-122,4,71,122,D,0.6629,0.0017,3300,20,-30.98,-342.36,NaN,0.86,0,65.05452401,-21.48283702
lhss4-44,4,149,44,D,0.9316,0.002,570,15,-27.06,-75.77,NaN,0.4,0,65.05452401,-21.48283702
lhss4-96,4,97,96,D,0.8148,0.0019,1650,20,-25.16,-191.66,NaN,2.9,0,65.05452401,-21.48283702
LHSS-7-25,7,25,NaN,D,0.6614,0.0016,3320,20,-27.97,-343.9,NaN,5.11,1,65.05733,-21.3179
lhss7-1.1,7,110,NaN,D,0.6013,0.0015,4090,20,-26.9,-403.49,NaN,1.6,1,65.05733,-21.3179
lhss7-137,7,137,NaN,D,0.6409,0.0019,3570,25,-27.24,-364.19,NaN,35.4,1,65.05733,-21.3179
lhss7-2.1,7,210,NaN,D,0.7813,0.0021,1980,20,-27.65,-224.87,NaN,15.9,1,65.05733,-21.3179
LHSS-10-1.35,10,135,NaN,D,0.7112,0.0017,2740,20,-29.23,-294.41,NaN,1.16,1,65.0575,-21.53709
LHSS-10-0.65,10,65,NaN,D,0.7502,0.0019,2310,20,-27.81,-255.8,NaN,0.89,1,65.0575,-21.53709
LHSS-10-0.35,10,35,NaN,D,0.7012,0.0016,2850,20,-28.37,-304.42,NaN,0.61,1,65.0575,-21.53709
lhss10-0.7,10,70,NaN,D,0.7933,0.0015,1860,15,-25.6,-213,NaN,0.4,1,65.0575,-21.53709
LHSS-11-1.1,11,110,NaN,D,0.815,0.0017,1640,15,-27.13,-191.43,NaN,1.02,1,65.05687,-21.53631
lhss12-41,12,41,NaN,D,0.7541,0.0016,2270,15,-26.1,-251.86,NaN,0.53,1,65.07017001,-21.36176001
lhss12-91,12,91,NaN,D,0.7431,0.0015,2390,15,-25.17,-262.8,NaN,1.14,1,65.07017001,-21.36176001
lhss12-136,12,136,NaN,D,0.7285,0.0019,2540,20,-25.48,-277.26,NaN,2.2,1,65.07017001,-21.36176001
lhss12-43,12,43,NaN,D,0.6541,0.0021,3410,25,-24.83,-351.15,NaN,1.9,1,65.07017001,-21.36176001
LHSS-15-37,15,NaN,37,D,0.8624,0.0018,1190,15,-26.58,-144.5,NaN,1.08,0,65.05845998,-21.45842699
lhss15-61,15,NaN,61,D,0.906,0.0018,795,15,-26.03,-101.18,NaN,2.59,0,65.05845998,-21.45842699
LHWS1(2),1,NaN,NaN,F,0.9388,0.002,505,20,-26.4,-68.67,0.41,NaN,0,65.056081,-21.481923
LHWS1,1,NaN,NaN,F,0.8187,0.0017,1610,15,-26.84,-187.85,0.23,NaN,0,65.056081,-21.481923
LHWS2-a,2,NaN,NaN,F,0.8659,0.0017,1160,15,-27.7,-140.99,0.24,NaN,0,65.0563,-21.32029
LHWS3,3,NaN,NaN,F,0.864,0.0018,1180,15,-27.6,-142.9,0.52,NaN,0,65.05795204,-21.25939803
LHWS6,6,NaN,NaN,F,0.9408,0.002,490,15,-28.11,-66.72,0.54,NaN,0,65.05642,-21.58186904
LHWS7,7,NaN,NaN,F,0.8817,0.0018,1010,15,-26.1,-125.32,0.2,NaN,0,65.06331897,-21.38663901
LHWS(8)2,8,NaN,NaN,F,0.9524,0.0019,390,15,-27.73,-55.16,0.4,NaN,0,65.06352399,-21.39427098
LHWS13,13,NaN,NaN,F,0.9615,0.0019,315,15,-28.58,-46.14,0.68,NaN,0,65.06990497,-21.36130303
LHSS-6-2,6,NaN,NaN,M,0.2716,0.0015,10450,45,-30.71,-730.53,NaN,1.46,1,65.05642,-21.58186904
lhss7-W,7,NaN,NaN,T,0.6149,0.0014,3910,20,-28.26,-389.98,NaN,NaN,0,65.05733,-21.3179